feature_id,cohort,band_low,band_high,direction
NDW_2-gram_NDW,ALL,218.0,302.0,up
NDW_3-gram_NDW,ALL,253.0,351.0,up
NDW_4-gram_NDW,ALL,267.0,371.0,up
NDW_5-gram_NDW,ALL,274.0,379.0,up
NDW_6-gram_NDW,ALL,276.0,382.0,up
NDW_7-gram_NDW,ALL,277.0,384.0,up
NDW_8-gram_NDW,ALL,277.0,383.0,up
NDW_C_NDW,ALL,146.0,200.0,up
NDW_E_NDW,ALL,64.0,87.0,up
NDW_F_NDW,ALL,124.0,169.0,up
NDW_IC_NDW,ALL,0.0,0.0,neutral
NDW_J_NDW,ALL,52.0,73.0,up
NDW_MM_NDW,ALL,3.0,5.0,neutral
NDW_M_NDW,ALL,14.0,20.0,up
NDW_NNB_NDW,ALL,10.0,15.0,up
NDW_NNG_NDW,ALL,49.0,75.0,up
NDW_NNP_NDW,ALL,0.0,1.0,neutral
NDW_NN_NDW,ALL,62.0,92.0,up
NDW_NP_NDW,ALL,4.0,7.0,neutral
NDW_NR_NDW,ALL,0.0,1.0,neutral
NDW_N_NDW,ALL,69.0,99.0,up
NDW_VA_NDW,ALL,13.0,19.0,up
NDW_VV_NDW,ALL,31.0,43.0,up
NDW_V_NDW,ALL,60.0,80.0,up
NDW_X_NDW,ALL,5.0,10.0,neutral
NDW_morph_NDW,ALL,126.0,167.0,up
adjacency_C_adjOverlap,ALL,8.0,11.0,up
adjacency_C_adjOverlap3,ALL,7.0,9.0,neutral
adjacency_C_adjOverlap3Ratio,ALL,0.800000011920929,1.0,up
adjacency_C_adjOverlap3Token,ALL,16.0,25.0,up
adjacency_C_adjOverlap3TokenRatio,ALL,0.11834319680929184,0.15639810264110565,up
adjacency_C_adjOverlapRatio,ALL,0.8421052694320679,1.0,up
adjacency_C_adjOverlapToken,ALL,22.0,31.0,up
adjacency_C_adjOverlapTokenRatio,ALL,0.15671642124652863,0.20000000298023224,up
adjacency_C_repRatio,ALL,0.5368170738220215,0.5533596873283386,down
adjacency_NN_adjOverlap,ALL,6.0,8.0,up
adjacency_NN_adjOverlap3,ALL,5.0,7.0,neutral
adjacency_NN_adjOverlap3Ratio,ALL,0.5384615659713745,0.75,neutral
adjacency_NN_adjOverlap3Token,ALL,7.0,12.0,neutral
adjacency_NN_adjOverlap3TokenRatio,ALL,0.11764705926179886,0.17241379618644714,up
adjacency_NN_adjOverlapRatio,ALL,0.625,0.8181818127632141,up
adjacency_NN_adjOverlapToken,ALL,10.0,15.0,up
adjacency_NN_adjOverlapTokenRatio,ALL,0.16346153616905212,0.22727273404598236,up
adjacency_NN_repRatio,ALL,0.23227383196353912,0.2648083567619324,up
adjacency_N_adjOverlap,ALL,6.0,9.0,neutral
adjacency_N_adjOverlap3,ALL,5.0,7.0,up
adjacency_N_adjOverlap3Ratio,ALL,0.5714285969734192,0.7777777910232544,up
adjacency_N_adjOverlap3Token,ALL,8.0,13.0,neutral
adjacency_N_adjOverlap3TokenRatio,ALL,0.1190476194024086,0.17171716690063477,up
adjacency_N_adjOverlapRatio,ALL,0.6666666865348816,0.8333333134651184,neutral
adjacency_N_adjOverlapToken,ALL,11.0,17.0,up
adjacency_N_adjOverlapTokenRatio,ALL,0.16379310190677643,0.22499999403953552,up
adjacency_N_repRatio,ALL,0.25503355264663696,0.2832929790019989,up
adjacency_V_repRatio,ALL,0.21511627733707428,0.2330097109079361,down
adjacency_adjacent_sentence_overlap_adjective_lemmas,ALL,8.0,14.0,up
adjacency_adjacent_sentence_overlap_adjective_lemmas_normed,ALL,4.0,7.0,neutral
adjacency_adjacent_sentence_overlap_adverb_lemmas,ALL,4.0,8.0,up
adjacency_adjacent_sentence_overlap_adverb_lemmas_normed,ALL,3.0,5.0,up
adjacency_adjacent_sentence_overlap_all_lemmas,ALL,193.0,270.0,up
adjacency_adjacent_sentence_overlap_all_lemmas_normed,ALL,9.0,13.0,neutral
adjacency_adjacent_sentence_overlap_content_lemmas,ALL,104.0,148.0,up
adjacency_adjacent_sentence_overlap_content_lemmas_normed,ALL,9.0,13.0,neutral
adjacency_adjacent_sentence_overlap_function_lemmas,ALL,80.0,115.0,up
adjacency_adjacent_sentence_overlap_function_lemmas_normed,ALL,9.0,13.0,neutral
