feature_id,cohort,band_low,band_high,direction
NDW_2-gram_NDW,ALL,226.0,306.0,up
NDW_3-gram_NDW,ALL,261.0,357.0,up
NDW_4-gram_NDW,ALL,277.0,377.0,up
NDW_5-gram_NDW,ALL,283.0,386.0,up
NDW_6-gram_NDW,ALL,286.0,389.0,up
NDW_7-gram_NDW,ALL,286.0,390.0,up
NDW_8-gram_NDW,ALL,286.0,390.0,up
NDW_C_NDW,ALL,151.0,203.0,up
NDW_E_NDW,ALL,67.0,89.0,up
NDW_F_NDW,ALL,128.0,173.0,up
NDW_IC_NDW,ALL,0.0,0.0,neutral
NDW_J_NDW,ALL,54.0,73.0,up
NDW_MM_NDW,ALL,3.0,5.0,neutral
NDW_M_NDW,ALL,14.0,20.0,up
NDW_NNB_NDW,ALL,10.0,15.0,up
NDW_NNG_NDW,ALL,51.0,76.0,up
NDW_NNP_NDW,ALL,0.0,1.0,neutral
NDW_NN_NDW,ALL,64.0,93.0,up
NDW_NP_NDW,ALL,4.0,8.0,neutral
NDW_NR_NDW,ALL,0.0,1.0,neutral
NDW_N_NDW,ALL,71.0,100.0,up
NDW_VA_NDW,ALL,14.0,20.0,up
NDW_VV_NDW,ALL,32.0,43.0,up
NDW_V_NDW,ALL,62.0,82.0,up
NDW_X_NDW,ALL,5.0,10.0,up
NDW_morph_NDW,ALL,130.0,169.0,up
adjacency_C_adjOverlap,ALL,8.0,11.0,up
adjacency_C_adjOverlap3,ALL,7.0,9.0,up
adjacency_C_adjOverlap3Ratio,ALL,0.8,1.0,up
adjacency_C_adjOverlap3Token,ALL,17.0,25.0,up
adjacency_C_adjOverlap3TokenRatio,ALL,0.1186440677966102,0.1566265060240964,up
adjacency_C_adjOverlapRatio,ALL,0.8461538461538461,1.0,up
adjacency_C_adjOverlapToken,ALL,22.0,31.0,up
adjacency_C_adjOverlapTokenRatio,ALL,0.1559633027522936,0.2,down
adjacency_C_repRatio,ALL,0.5359712230215827,0.5520361990950227,down
adjacency_NN_adjOverlap,ALL,6.0,8.0,up
adjacency_NN_adjOverlap3,ALL,5.0,7.0,neutral
adjacency_NN_adjOverlap3Ratio,ALL,0.5384615384615384,0.75,neutral
adjacency_NN_adjOverlap3Token,ALL,7.0,12.0,neutral
adjacency_NN_adjOverlap3TokenRatio,ALL,0.1166666666666667,0.1707317073170732,up
adjacency_NN_adjOverlapRatio,ALL,0.625,0.8181818181818182,up
adjacency_NN_adjOverlapToken,ALL,10.0,15.0,up
adjacency_NN_adjOverlapTokenRatio,ALL,0.1612903225806452,0.2241379310344828,up
adjacency_NN_repRatio,ALL,0.2307692307692308,0.263013698630137,up
adjacency_N_adjOverlap,ALL,6.0,9.0,neutral
adjacency_N_adjOverlap3,ALL,5.0,7.0,up
